#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
3500333	1111	54739	107536	120121	-	-	CHEK1	XAF1	CHK1	BIRC4BP|HSXIAPAF1|XIAPAF1	Affinity Capture-Western	physical	Wang J (2009)	PUBMED:19628579	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	Q6GPH4	B3KPW1	NP_059993|NP_954590	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3500334	54739	1111	120121	107536	-	-	XAF1	CHEK1	BIRC4BP|HSXIAPAF1|XIAPAF1	CHK1	Affinity Capture-Western	physical	Wang J (2009)	PUBMED:19628579	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q6GPH4	B3KPW1	NP_059993|NP_954590	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3503039	25976	1111	117460	107536	-	-	TIPARP	CHEK1	ARTD14|PARP7|pART14	CHK1	Affinity Capture-MS	physical	Chen H (2022)	PUBMED:35439318	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q7Z3E1	Q05BQ2	NP_001171647|NP_001171646|NP_056323	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3518465	79778	1111	122879	107536	UNQ5811	-	MICALL2	CHEK1	JRAB|MICAL-L2	CHK1	Affinity Capture-MS	physical	Wen P (2022)	PUBMED:36307841	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q8IY33	Q6UWK3	NP_891554	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3522573	440730	1111	136847	107536	-	-	TRIM67	CHEK1	TNL	CHK1	Affinity Capture-MS	physical	Demirdizen E (2022)	PUBMED:36215168	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q6ZTA4	-	NP_001287818|NP_001004342	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3526943	80279	1111	123213	107536	MSTP016	-	CDK5RAP3	CHEK1	C53|HSF-27|IC53|LZAP|MST016|OK/SW-cl.114|PP1553	CHK1	Affinity Capture-Western	physical	Jiang H (2009)	PUBMED:19223857	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96JB5	-	NP_788276|NP_001265126|NP_001265127|NP_001265146|NP_001265145	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3533203	7532	1111	113364	107536	-	-	YWHAG	CHEK1	14-3-3GAMMA|PPP1R170	CHK1	Affinity Capture-MS	physical	Segal D (2023)	PUBMED:36931259	9606	9606	High Throughput	-	-	Interaction confidence score is 1 minus the Bayesian False Discovery Rate (BFDR) calculated from SAINT analysis. Interaction cutoff is BFDR &lt;= 0.01 (confidence score &gt;= 0.99)|okadaic acid (serine/threonine phosphatases inhibition) condition	-	BIOGRID	P61981	-	NP_036611	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3533349	7533	1111	113365	107536	LL22NC03-44A4.1	-	YWHAH	CHEK1	YWHA1	CHK1	Affinity Capture-MS	physical	Segal D (2023)	PUBMED:36931259	9606	9606	High Throughput	-	-	Interaction confidence score is 1 minus the Bayesian False Discovery Rate (BFDR) calculated from SAINT analysis. Interaction cutoff is BFDR &lt;= 0.01 (confidence score &gt;= 0.99)|okadaic acid (serine/threonine phosphatases inhibition) condition	-	BIOGRID	Q04917	A0A024R1K7|Q9H4N8	NP_003396	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3533527	10971	1111	116168	107536	-	-	YWHAQ	CHEK1	14-3-3|1C5|HS1	CHK1	Affinity Capture-MS	physical	Segal D (2023)	PUBMED:36931259	9606	9606	High Throughput	-	-	Interaction confidence score is 1 minus the Bayesian False Discovery Rate (BFDR) calculated from SAINT analysis. Interaction cutoff is BFDR &lt;= 0.01 (confidence score &gt;= 0.99)|okadaic acid (serine/threonine phosphatases inhibition) condition	-	BIOGRID	P27348	-	NP_006817	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3543175	1111	63967	107536	122015	-	-	CHEK1	CLSPN	CHK1	-	Affinity Capture-Western	physical	Liu S (2006)	PUBMED:16880517	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	Q9HAW4	-	NP_071394|NP_001177410|NP_001317419	-	-	-	-	-	-	Homo sapiens	Homo sapiens
